,score_tst,score_tst,time,time,score_tst,score_tst
,mean,std,mean,std,tval,pval
method,,,,,,
TSMNet+SPDDSMBN,0.0,0.0,16.82758849251468,1.0010376901739264,,
TSMNet+SPDDSBN,-0.016233527008203713,0.022280954722944793,20.025035528179448,1.5707982692427922,-7.754971214744892,0.0001
TSMNet+SPDMBN,-0.03881512669685256,0.043963631618078806,11.192640614476673,0.49190636253362,-10.66201485859571,0.0001
CNNNet+DSMBN,-0.045122010542276186,0.037803258152211826,6.514641670912526,0.1250990290588591,-10.163978909987438,0.0001
CNNNet+MBN,-0.06926441259690795,0.04810652440854232,4.420329886111332,0.11085634234708044,-13.442015557375207,0.0001
